Open,High,Low,Close,gm_week,gm_2_weeks,gm_3_weeks,gm_4_weeks,gm_5_weeks,gm_6_weeks,pr_week,pr_2_weeks,pr_3_weeks,pr_4_weeks,pr_5_weeks,pr_6_weeks
7.0,10.0,5.0,10.0,,,,,,,,,,,,
10.0,14.0,9.0,13.0,,,,,,,,,,,,
13.0,15.0,10.0,12.0,,,,,,,,,,,,
12.0,12.0,9.0,11.0,,,,,,,,,,,,
11.0,11.0,8.0,10.0,,,,,,,,,,,,
10.0,15.0,8.0,13.0,,,,,,,,,,,,
13.0,13.0,10.0,12.0,,,,,,,,,,,,
12.0,15.0,11.0,15.0,,,,,,,,,,,,
15.0,18.0,14.0,18.0,,,,,,,,,,,,
18.0,19.0,16.0,17.0,,,,,,,,,,,,
17.0,22.0,14.0,20.0,,,,,,,,,,,,
20.0,21.0,19.0,19.0,,,,,,,,,,,,
19.0,20.0,17.0,18.0,,,,,,,,,,,,
18.0,23.0,15.0,21.0,,,,,,,,,,,,
21.0,26.0,20.0,24.0,,,,,,,,,,,,
24.0,29.0,22.0,27.0,,,,,,,,,,,,
27.0,27.0,23.0,26.0,,,,,,,,,,,,
26.0,26.0,24.0,25.0,,,,,,,,,,,,
25.0,30.0,23.0,28.0,,,,,,,,,,,,
28.0,28.0,25.0,27.0,,,,,,,,,,,,
27.0,31.0,26.0,30.0,,,,,,,,,,,,
30.0,33.0,29.0,33.0,,,,,,,,,,,,
33.0,34.0,30.0,32.0,,,,,,,,,,,,
32.0,34.0,29.0,31.0,,,,,,,,,,,,
31.0,31.0,29.0,30.0,,,,,,,,,,,,
30.0,33.0,29.0,33.0,,,,,,,,,,,,
33.0,34.0,31.0,32.0,,,,,,,,,,,,
32.0,34.0,30.0,31.0,,,,,,,,,,,,
31.0,33.0,28.0,30.0,,,,,,,,,,,,
30.0,30.0,26.0,29.0,,,,,,,,,,,,
29.0,33.0,28.0,32.0,,,,,,,,,,,,
32.0,33.0,30.0,31.0,,,,,,,,,,,,
31.0,31.0,27.0,30.0,,,,,,,,,,,,
30.0,35.0,29.0,33.0,,,,,,,,,,,,
33.0,37.0,32.0,36.0,,,,,,,,,,,,
36.0,40.0,33.0,39.0,,,,,,,,,,,,
39.0,42.0,38.0,42.0,,,,,,,,,,,,
42.0,46.0,41.0,45.0,,,,,,,,,,,,
45.0,50.0,44.0,48.0,,,,,,,,,,,,
48.0,53.0,47.0,51.0,,,,,,,,,,,,
51.0,55.0,50.0,54.0,,,,,,,,,,,,
54.0,55.0,53.0,53.0,,,,,,,,,,,,
53.0,57.0,52.0,56.0,,,,,,,,,,,,
56.0,60.0,55.0,59.0,,,,,,,,,,,,
59.0,63.0,57.0,62.0,,,,,,,,,,,,
59.0,1574.9405631270427,58.81755801047528,1572.154091355506,-11.751152073732719,-26.382488479262665,-34.254992319508446,-38.824884792626726,-43.91705069124424,-49.577572964669734,0.75,0.7333333333333333,0.5909090909090909,0.5517241379310345,0.5555555555555556,0.5348837209302325
