Open,High,Low,Close,gm_week,gm_2_weeks,gm_3_weeks,gm_4_weeks,gm_5_weeks,gm_6_weeks,pr_week,pr_2_weeks,pr_3_weeks,pr_4_weeks,pr_5_weeks,pr_6_weeks
32.0,35.0,30.0,35.0,,,,,,,,,,,,
35.0,40.0,32.0,38.0,,,,,,,,,,,,
38.0,43.0,37.0,41.0,,,,,,,,,,,,
41.0,42.0,38.0,40.0,,,,,,,,,,,,
40.0,44.0,39.0,43.0,,,,,,,,,,,,
43.0,47.0,40.0,46.0,,,,,,,,,,,,
46.0,50.0,43.0,49.0,,,,,,,,,,,,
49.0,51.0,48.0,48.0,,,,,,,,,,,,
48.0,50.0,46.0,47.0,,,,,,,,,,,,
47.0,49.0,45.0,46.0,,,,,,,,,,,,
46.0,51.0,45.0,49.0,,,,,,,,,,,,
49.0,54.0,47.0,52.0,,,,,,,,,,,,
52.0,55.0,49.0,55.0,,,,,,,,,,,,
55.0,60.0,54.0,58.0,,,,,,,,,,,,
58.0,60.0,56.0,57.0,,,,,,,,,,,,
57.0,59.0,55.0,56.0,,,,,,,,,,,,
56.0,56.0,52.0,55.0,,,,,,,,,,,,
55.0,59.0,54.0,58.0,,,,,,,,,,,,
58.0,58.0,54.0,57.0,,,,,,,,,,,,
57.0,58.0,56.0,56.0,,,,,,,,,,,,
56.0,59.0,55.0,59.0,,,,,,,,,,,,
59.0,64.0,56.0,62.0,,,,,,,,,,,,
62.0,66.0,60.0,65.0,,,,,,,,,,,,
65.0,66.0,63.0,64.0,,,,,,,,,,,,
64.0,65.0,62.0,63.0,,,,,,,,,,,,
63.0,66.0,61.0,66.0,,,,,,,,,,,,
66.0,66.0,64.0,65.0,,,,,,,,,,,,
65.0,70.0,63.0,68.0,,,,,,,,,,,,
68.0,71.0,67.0,71.0,,,,,,,,,,,,
71.0,73.0,68.0,70.0,,,,,,,,,,,,
70.0,73.0,68.0,73.0,,,,,,,,,,,,
73.0,77.0,71.0,76.0,,,,,,,,,,,,
76.0,76.0,74.0,75.0,,,,,,,,,,,,
75.0,75.0,73.0,74.0,,,,,,,,,,,,
74.0,79.0,71.0,77.0,,,,,,,,,,,,
77.0,82.0,74.0,80.0,,,,,,,,,,,,
80.0,80.0,78.0,79.0,,,,,,,,,,,,
79.0,83.0,77.0,82.0,,,,,,,,,,,,
82.0,82.0,79.0,81.0,,,,,,,,,,,,
81.0,84.0,78.0,84.0,,,,,,,,,,,,
84.0,88.0,83.0,87.0,,,,,,,,,,,,
87.0,91.0,85.0,90.0,,,,,,,,,,,,
90.0,95.0,88.0,93.0,,,,,,,,,,,,
93.0,94.0,91.0,92.0,,,,,,,,,,,,
92.0,93.0,89.0,91.0,,,,,,,,,,,,
92.0,92.75525703701159,89.4347308912536,63.54894683748417,-2.982731554160123,-8.869701726844582,-14.338042909471483,-19.23076923076923,-23.390894819466258,-27.812663526949244,0.5,0.5333333333333333,0.5454545454545454,0.5517241379310345,0.5555555555555556,0.5348837209302325
